time,value
10.1839,3673750
10.19325,1816516
10.20258,484862
10.21193,117695
10.22127,68584
10.2306,73838
10.23995,86515
10.24928,106787
10.25862,110739
10.26797,85550
10.2773,66904
10.28663,55558
10.29598,50258
10.30532,52968
10.31465,50598
10.324,50550
10.33333,55819
10.34267,55543
10.35202,49983
10.36135,48066
10.37068,47761
10.38003,47260
10.38937,43812
10.39872,40442
10.40805,40750
10.41738,44871
10.42673,52913
10.43607,60195
10.4454,60717
10.45475,56374
10.46408,58971
10.47342,59918
10.48277,58785
10.4921,49516
10.50143,44483
10.51078,39844
10.52012,39511
10.52945,38715
10.5388,39402
10.54813,42286
10.55747,43848
10.56682,42457
10.57615,44455
10.5855,48753
10.59483,53986
10.60417,61928
10.61352,56387
10.62285,46963
10.63218,47013
10.64153,56130
10.65087,59541
10.6602,50933
10.66955,47120
10.67888,50210
10.68822,57396
10.69757,66244
10.7069,67412
10.71623,60182
10.72558,63211
10.73492,65984
10.74425,57798
10.7536,59260
10.76293,89261
10.77228,135565
10.78162,145471
10.79095,131086
10.8003,190407
10.80963,357700
10.81897,456767
10.82832,333241
10.83765,163364
10.84698,75556
10.85633,53501
10.86567,49386
10.875,54310
10.88435,65860
10.89368,74691
10.90302,74446
10.91237,60149
10.9217,52846
10.93105,52024
10.94038,54887
10.94972,52003
10.95907,47494
10.9684,47915
10.97773,48610
10.98708,45318
10.99642,42187
11.00575,41046
11.0151,43070
11.02443,41757
11.03377,43781
11.04312,47815
11.05245,48469
11.06178,46747
11.07113,42528
11.08047,39694
11.0898,39342
11.09915,40403
11.10848,48666
11.11783,61299
11.12717,66331
11.1365,59516
11.14585,51991
11.15518,50214
11.16452,47307
11.17387,44930
11.1832,42576
11.19253,41438
11.20188,39146
11.21122,38151
11.22055,41502
11.2299,43399
11.23923,47944
11.24857,44408
11.25792,44066
11.26725,47920
11.27658,53910
11.28593,53313
11.29527,47752
11.30462,50942
11.31395,78314
11.32328,120257
11.33263,135530
11.34197,109460
11.3513,97270
11.36065,113587
11.36998,117619
11.37932,98663
11.38867,72482
11.398,57826
11.40733,62087
11.41668,69948
11.42602,63450
11.43535,56092
11.4447,48693
11.45403,47174
11.46337,50827
11.47272,67221
11.48205,81788
11.4914,77094
11.50073,57560
11.51007,44700
11.51942,40656
11.52875,40230
11.53808,39869
11.54743,42780
11.55677,49705
11.5661,68810
11.57545,124025
11.58478,191271
11.59412,200783
11.60347,148995
11.6128,108303
11.62213,80952
11.63148,73191
11.64082,69563
11.65015,66080
11.6595,64873
11.66883,64150
11.67818,62516
11.68752,61143
11.69685,53881
11.7062,53345
11.71553,53375
11.72487,53138
11.73422,52453
11.74355,48818
11.75288,49109
11.76223,51955
11.77157,52354
11.7809,53429
11.79025,58572
11.79958,65298
11.80892,60009
11.81827,56248
11.8276,53348
11.83693,59787
11.84628,65740
11.85562,64670
11.86497,60169
11.8743,55836
11.88363,59989
11.89298,60004
11.90232,56186
11.91165,53283
11.921,51482
11.93033,49349
11.93967,56784
11.94902,80132
11.95835,92699
11.96768,83453
11.97703,63265
11.98637,53102
11.9957,50013
12.00505,52577
12.01438,64711
12.02373,86994
12.03307,93725
12.0424,80521
12.05175,70821
12.06108,59588
12.07042,54051
12.07977,49381
12.0891,49313
12.09843,51314
12.10778,54747
12.11712,53175
12.12645,51308
12.1358,52438
12.14513,51606
12.15447,52535
12.16382,56352
12.17315,80747
12.18248,136571
12.19183,179279
12.20117,144767
12.21052,87396
12.21985,63890
12.22918,70411
12.23853,84188
12.24787,92288
12.2572,77217
12.26655,69608
12.27588,106068
12.28522,200036
12.29457,246277
12.3039,187749
12.31323,106382
12.32258,68406
12.33192,59332
12.34125,63359
12.3506,71022
12.35993,69570
12.36927,58348
12.37862,54108
12.38795,56657
12.3973,61191
12.40663,71317
12.41597,77630
12.42532,76258
12.43465,77396
12.44398,69872
12.45333,66330
12.46267,63231
12.472,70348
12.48135,71580
12.49068,73237
12.50002,73537
12.50937,73163
12.5187,75810
12.52803,71872
12.53738,70973
