D:\Êý¾Ý\20211118\ZS1E-Z-000020.D Fri Nov 19 01:43:17 2021,
Start of data points,
9.07245,51158
9.08178,58475
9.09113,64813
9.10047,71418
9.1098,65033
9.11915,52378
9.12848,44281
9.13782,42313
9.14717,45510
9.1565,45923
9.16583,38446
9.17518,37518
9.18452,38904
9.19385,39083
9.2032,39189
9.21253,47187
9.22188,73860
9.23122,133711
9.24055,188980
9.2499,173803
9.25923,122994
9.26857,78631
9.27792,58162
9.28725,50408
9.29658,48723
9.30593,50585
9.31527,52016
9.3246,61472
9.33395,79370
9.34328,93700
9.35262,84556
9.36197,85573
9.3713,159350
9.38063,279392
9.38998,320336
9.39932,233789
9.40867,137555
9.418,83918
9.42733,67399
9.43668,65700
9.44602,58130
9.45535,49673
9.4647,42908
9.47403,40682
9.48337,38248
9.49272,39365
9.50205,47535
9.51138,50675
9.52073,49987
9.53007,48256
9.5394,50541
9.54875,51401
9.55808,62749
9.56743,86295
9.57677,106448
9.5861,96804
9.59545,73016
9.60478,69021
9.61412,75058
9.62347,69674
9.6328,58724
9.64213,54414
9.65148,49638
9.66082,45168
9.67015,44230
9.6795,45481
9.68883,44087
9.69817,43970
9.70752,40320
9.71685,40041
9.72618,59988
9.73553,198744
9.74487,601899
9.75422,1099669
9.76355,1072904
9.77288,634105
9.78223,295337
9.79157,158648
9.8009,112358
9.81025,89052
9.81958,79452
9.82892,80121
9.83827,102036
9.8476,126150
9.85693,146810
9.86628,132365
9.87562,101837
9.88495,89032
9.8943,111566
9.90363,131939
9.91297,160901
9.92232,234204
9.93165,301114
9.941,237423
9.95033,139052
9.95967,79356
9.96902,63675
9.97835,84284
9.98768,176328
9.99703,326182
10.00637,367378
10.0157,250343
10.02505,125580
10.03438,75254
10.04372,59286
10.05307,54235
10.0624,54953
10.07173,59348
10.08108,66666
10.09042,71804
10.09975,76072
10.1091,106245
10.11843,411729
10.12778,1633616
10.13712,3613720
10.14645,4050599
10.1558,2637184
10.16513,2432915
10.17447,3899861
10.18382,4055917
10.19315,2169425
10.20248,585987
10.21183,124610
10.22117,68139
10.2305,65642
10.23985,80955
10.24918,108106
10.25852,122140
10.26787,99491
10.2772,74278
10.28653,61109
10.29588,54610
10.30522,54351
10.31457,51871
10.3239,49531
10.33323,47693
10.34258,48294
10.35192,44932
10.36125,44891
10.3706,46482
10.37993,45570
10.38927,42092
10.39862,40206
10.40795,39681
10.41728,39966
10.42663,44363
10.43597,47918
10.4453,50570
10.45465,64314
10.46398,93692
10.47333,124256
10.48267,114108
10.492,77233
10.50135,52605
10.51068,41206
10.52002,40222
10.52937,39606
10.5387,38482
10.54803,39242
10.55738,42243
10.56672,44243
10.57605,46876
10.5854,47269
10.59473,48231
10.60407,50330
10.61342,47656
10.62275,42608
10.63208,48868
10.64143,59047
10.65077,66019
10.66012,53784
10.66945,44830
10.67878,42876
10.68813,45385
10.69747,49159
10.7068,47148
10.71615,45422
10.72548,54213
10.73482,56287
10.74417,48866
10.7535,49993
10.76283,66385
10.77218,98300
10.78152,114601
10.79085,95430
10.8002,83171
10.80953,95341
10.81887,113524
10.82822,98113
10.83755,69358
10.8469,52164
10.85623,43679
10.86557,42526
10.87492,44013
10.88425,54389
10.89358,62196
10.90293,60148
10.91227,55018
10.9216,47403
10.93095,48818
10.94028,53836
10.94962,53955
10.95897,48648
10.9683,45756
10.97763,42144
10.98698,42442
10.99632,40504
11.00565,45501
11.015,52187
11.02433,50015
11.03368,45606
11.04302,39267
11.05235,40040
11.0617,37505
11.07103,37588
11.08037,38903
11.08972,38259
11.09905,39227
11.10838,51196
11.11773,63968
11.12707,74951
11.1364,63818
11.14575,52327
11.15508,51518
11.16442,48170
11.17377,45027
11.1831,43761
11.19245,42241
11.20178,40586
11.21112,39356
11.22047,41537
11.2298,42153
11.23913,42779
11.24848,43650
11.25782,41588
11.26715,45255
11.2765,49419
11.28583,49966
11.29517,43304
11.30452,39757
11.31385,41770
11.32318,41625
11.33253,42580
11.34187,51555
11.3512,71201
11.36055,89890
11.36988,100880
11.37923,91381
11.38857,72313
11.3979,59987
11.40725,58628
11.41658,63701
11.42592,59643
11.43527,49997
11.4446,45258
11.45393,43621
11.46328,46032
11.47262,61907
11.48195,76105
11.4913,75517
11.50063,60534
11.50997,50365
11.51932,44847
11.52865,38401
11.53798,42087
11.54733,40388
11.55667,47986
11.56602,65271
11.57535,122256
11.58468,190681
11.59403,200087
11.60337,156587
11.6127,105591
11.62205,82981
11.63138,78595
11.64072,81984
11.65007,98490
11.6594,122771
11.66873,138206
11.67808,119062
11.68742,90095
11.69675,69950
11.7061,57803
11.71543,56722
11.72477,55247
11.73412,52403
11.74345,48398
11.7528,47918
11.76213,51213
11.77147,54158
11.78082,54023
11.79015,58540
11.79948,64121
11.80883,61031
11.81817,51437
11.8275,47761
11.83685,50034
11.84618,51874
11.85552,54400
11.86487,53077
11.8742,55302
11.88353,59233
11.89288,61791
11.90222,57817
11.91155,54354
11.9209,54979
11.93023,52443
11.93958,53174
11.94892,66855
11.95825,79899
11.9676,73556
11.97693,57171
11.98627,48400
11.99562,47411
12.00495,49552
12.01428,64158
12.02363,88002
12.03297,93396
12.0423,80469
12.05165,65805
12.06098,58674
12.07032,50628
12.07967,49344
12.089,44663
12.09835,45794
12.10768,46923
12.11702,52226
12.12637,52977
12.1357,50531
12.14503,49460
12.15438,51049
12.16372,54097
12.17305,79884
12.1824,142650
12.19173,198506
12.20107,156101
12.21042,89487
12.21975,57718
12.22908,63085
12.23843,80367
12.24777,84145
12.2571,72465
12.26645,64261
12.27578,100131
12.28513,185287
12.29447,238969
12.3038,185679
12.31315,102178
12.32248,62979
12.33182,54671
12.34117,61045
12.3505,70288
12.35983,71520
12.36918,58944
12.37852,51402
12.38785,61411
12.3972,90581
12.40653,132771
12.41587,143253
12.42522,113527
12.43455,86464
12.44388,72677
12.45323,62861
12.46257,63744
12.47192,68274
12.48125,68348
12.49058,69638
12.49993,70522
12.50927,71243
12.5186,72828
12.52795,72941
12.53728,71506
12.54662,73109
12.55597,65351
12.5653,65037
12.57463,75807
12.58398,88771
12.59332,100865
12.60265,100499
12.612,80765
12.62133,68049
12.63067,67668
12.64002,76887
12.64935,82310
12.6587,83161
12.66803,81426
12.67737,77489
12.68672,67393
12.69605,57672
12.70538,54859
12.71473,56213
12.72407,60209
12.7334,66874
12.74275,67308
12.75208,69652
12.76142,77443
12.77077,77089
12.7801,70326
12.78943,56936
12.79878,50903
12.80812,50779
12.81745,52526
12.8268,55115
12.83613,56174
12.84548,59250
12.85482,54326
12.86415,54366
12.8735,57833
12.88283,55292
12.89217,51393
12.90152,56416
12.91085,58949
12.92018,54576
12.92953,49407
12.93887,49769
12.9482,54985
12.95755,62168
12.96688,57882
12.97622,57189
12.98557,50354
12.9949,46136
13.00425,52272
13.01358,50350
13.02292,50052
13.03227,55945
13.0416,70031
13.05093,75056
13.06028,66722
13.06962,76916
13.07895,103227
13.0883,110175
13.09763,88123
13.10697,67044
13.11632,58981
13.12565,58298
13.13498,58613
13.14433,64285
13.15367,69149
13.163,68386
13.17235,72151
13.18168,78771
13.19103,141274
13.20037,610899
