D:\数据\20211117中山一医采样\ZS1E-Z-000001.D Wed Nov 17 19:37:15 2021,
Start of data points,
7.84893,29511
7.85828,40306
7.86762,68607
7.87695,108552
7.8863,119871
7.89563,88115
7.90498,58365
7.91432,55250
7.92365,85627
7.933,104268
7.94233,92596
7.95167,73369
7.96102,80393
7.97035,86933
7.97968,83922
7.98903,99789
7.99837,115062
8.0077,100996
8.01705,72740
8.02638,59390
8.03572,52650
8.04507,53585
8.0544,61439
8.06373,60371
8.07308,48539
8.08242,40022
8.09177,42646
8.1011,60879
8.11043,64910
8.11978,60212
8.12912,43956
8.13845,34429
8.1478,32121
8.15713,30185
8.16647,30135
8.17582,31426
8.18515,31913
8.19448,32071
8.20383,30902
8.21317,32722
8.2225,34308
8.23185,36567
8.24118,38012
8.25052,42629
8.25987,43359
8.2692,41112
8.27855,38360
8.28788,33160
8.29722,32955
8.30657,32780
8.3159,32157
8.32523,33514
8.33458,33135
8.34392,30829
8.35325,30687
8.3626,30235
8.37193,30121
8.38127,29301
8.39062,37078
8.39995,43975
8.40928,42704
8.41863,42847
8.42797,44572
8.4373,44544
8.44665,42079
8.45598,39314
8.46533,38703
8.47467,38168
8.484,38961
8.49335,36520
8.50268,37616
8.51202,35867
8.52137,34843
8.5307,34240
8.54003,35256
8.54938,36098
8.55872,39223
8.56805,42699
8.5774,42770
8.58673,44371
8.59607,42514
8.60542,43469
8.61475,42898
8.6241,41774
8.63343,38496
8.64277,38094
8.65212,35754
8.66145,36124
8.67078,37859
8.68013,36849
8.68947,37532
8.6988,37053
8.70815,38986
8.71748,38843
8.72682,35646
8.73617,33963
8.7455,38215
8.75483,50980
8.76418,61600
8.77352,62686
8.78285,49085
8.7922,41120
8.80153,47555
8.81088,62737
8.82022,86221
8.82955,87862
8.8389,64324
8.84823,45694
8.85757,37511
8.86692,36719
8.87625,40343
8.88558,43310
8.89493,43317
8.90427,42909
8.9136,42689
8.92295,44180
8.93228,40951
8.94162,43204
8.95097,41000
8.9603,37701
8.96963,36519
8.97898,37996
8.98832,40225
8.99767,37830
9.007,41605
9.01633,43281
9.02568,41426
9.03502,39084
9.04435,41298
9.0537,45587
9.06303,49357
9.07237,51922
9.08172,57029
9.09105,62551
9.10038,67499
9.10973,61662
9.11907,49926
9.1284,44862
9.13775,44797
9.14708,47537
9.15642,48908
9.16577,40670
9.1751,37236
9.18445,39273
9.19378,37855
9.20312,38584
9.21247,42569
9.2218,56519
9.23113,94162
9.24048,140914
9.24982,144979
9.25915,109101
9.2685,75227
9.27783,54818
9.28717,49652
9.29652,47762
9.30585,43329
9.31518,42472
9.32453,48658
9.33387,66781
9.34322,89013
9.35255,82074
9.36188,80348
9.37123,140249
9.38057,247255
9.3899,284086
9.39925,218659
9.40858,137732
9.41792,91376
9.42727,74552
9.4366,72397
9.44593,66511
9.45528,51585
9.46462,42038
9.47395,36246
9.4833,36402
9.49263,39911
9.50197,43550
9.51132,49323
9.52065,45395
9.53,44582
9.53933,45335
9.54867,49531
9.55802,58895
9.56735,80991
9.57668,99420
9.58603,90501
9.59537,65108
9.6047,60692
9.61405,67480
9.62338,62769
9.63272,52510
9.64207,49819
9.6514,47172
9.66073,46838
9.67008,43960
9.67942,42699
9.68875,44859
9.6981,44902
9.70743,43464
9.71678,38313
9.72612,68680
9.73545,246969
9.7448,817083
9.75413,1500329
9.76347,1480732
9.77282,883329
9.78215,387592
9.79148,196665
9.80083,135214
9.81017,105227
9.8195,94643
9.82885,97875
9.83818,119406
9.84752,142278
9.85687,154112
9.8662,131099
9.87553,101573
9.88488,91454
9.89422,108013
9.90357,123613
9.9129,125881
9.92223,154624
9.93158,196557
9.94092,176924
9.95025,124716
9.9596,80209
9.96893,61763
9.97827,74080
9.98762,135303
9.99695,238536
10.00628,267183
10.01563,197235
10.02497,110332
10.0343,69472
10.04365,58817
10.05298,53171
10.06232,57107
10.07167,67753
10.081,88031
10.09035,99696
10.09968,90958
10.10902,107727
10.11837,347176
10.1277,1339505
10.13703,3001429
10.14638,3401822
10.15572,2244939
10.16505,2112272
10.1744,3450177
